"Id","ShortName","LongName","CanonicalHostName"
1,"kaggle","Kaggle","www.kaggle.com"
2,"hhp","Heritage Health Prize","www.heritagehealthprize.com"
3,"inclass","Kaggle in Class","inclass.kaggle.com"
5,"kddcup2012","KDD Cup 2012","www.kddcup2012.org"
7,"gequest","GE Quest","www.gequest.com"
