"Id","Extension","GroupId"
1,".png",1
2,".csv",2
3,".html",3
4,".jpg",1
5,".pkl",5
6,".txt",4
7,".json",5
8,".js",5
9,".pdf",1
10,".log",4
11,".npy",5
12,".css",5
13,".svg",1
14,".svgz",1
15,".sqlite",2
16,".gif",1
17,".jpeg",1
